canonical_name,raw_variants
ABYSSINIAN,Abyssinian
AGIA YPOMONI,Agia Ypomoni
AM PORT CARTIER,AM Port Cartier
AM SHRADDHA,AM Shraddha
AMAZONEBORG,Amazoneborg
ANCASH QUEEN,Ancash Queen
ARDMORE CHEYENNE,Ardmore Cheyenne
ARYA,Arya
ASIA CONFIDENCE,Asia Confidence
ATHOS,Athos
BANDURA,Bandura
BBG FOREVER,BBG Forever
BELAFONTE,Belafonte
BOCHEM SANTOS,Bochem Santos
BUBBA BOOSH,Bubba Boosh
CAPE,Cape
CAPTAIN V. MADIAS,Captain V. Madias
CARDIFF,Cardiff
CHARIOTEER,Charioteer
CHLOE,Chloe
CL CONTIGO,CL Contigo
CLARA INSIGNIA,Clara Insignia
CORNALIN,Cornalin
CS CELESTE,CS Celeste
CUI PING FENG,Cui Ping Feng
DALLAS,Dallas
DRAWSKO,Drawsko
EVA GLOBAL,Eva Global
FUTURE,Future
GCL GREECE,GCL Greece
GCL PARADIP,GCL Paradip
GCL PRAIA MOLE,GCL Praia Mole
GENCO SCORPION,Genco Scorpion
GENERAL GUISAN,General Guisan
GIA GLORY,Gia Glory
GOOFY,Goofy
GREAT FLOURISH,Great Flourish
GUO YUAN 86,Guo Yuan 86
HAPPY DYNAMIC,Happy Dynamic
HERBERT,Herbert
HL BRILLIANCE,HL Brilliance
HSL GERALDTON,HSL Geraldton
INDIAN SOLIDARITY,Indian Solidarity
IONIC KIZUNA,Ionic Kizuna
ISABELA ISLAND,Isabela Island
JAGUAR MAX,Jaguar Max
JAL MURARI,Jal Murari
KM VANCOUVER,KM Vancouver
KROUSSON,Krousson
LENA,Lena
LIBERTY,Liberty
LOWLANDS ENGEL,Lowlands Engel
MADOROSU,Madorosu
MAGMA INTEGRITY,Magma Integrity
MARAN ASTRONOMER,Maran Astronomer
MAZOWSZE,Mazowsze
MDS APHRODITE,Mds Aphrodite
MIDJUR,Midjur
MOUDROS,Moudros
NORDIC ODIN,Nordic Odin
NORSE HOUSTON,Norse Houston
OCEAN CROWN,Ocean Crown
OCEAN FREEDOM,Ocean Freedom
ONEGO DEUSTO,Onego Deusto
ORION TRADER,Orion Trader
PANTHER MAX,Panther Max
PENELOPE I,Penelope I
PENGHU SW,Penghu SW
PHENOMENAL DIVA,Phenomenal Diva
PHILHOKUSAI,Philhokusai
PONT-ROUGE,Pont-Rouge
PORT NAGASAKI,Port Nagasaki
PROUD UNITY,Proud Unity
PUMA MAX,Puma Max
RAHMA,Rahma
RI GUAN FENG,Ri Guan Feng
SEPETIBA BAY,Sepetiba Bay
SHENG XING HAI,Sheng Xing Hai
SINCERITY DIVA,Sincerity Diva
SOPHIE OLDENDORFF,Sophie Oldendorff
SPAR APUS,Spar Apus
SPAR CORONA,Spar Corona
STARDUST,Stardust
STELIOS T,Stelios T
SW LEGEND,SW Legend
TAHO ASIA,Taho Asia
TBN,TBN
THOR MONADIC,Thor Monadic
TOKYO PIONEER,Tokyo Pioneer
TOP FORTUNE,Top Fortune
TRANSAMERICA,Transamerica
TYMFI,Tymfi
ULTRA OSORNO,Ultra Osorno
ULTRA TATIO,Ultra Tatio
WADOWICE II,Wadowice II
WU ZHU HAI,Wu Zhu Hai
YASA ROSE,Yasa Rose
